,longitude,wind_direction,latitude,humidity,temperature_10cm,wind_direction_degrees,temperature,wind_blast,wind_speedMS,visibility_meters,wind_speedBF,sun_intensity,datetime,water_flow,waves_height,water_drainage,water_level,water_level_belgium_border,tide
249,6.20,WZW,51.50,85,4.2,250,3.9,5.6,3.71,,3,50,11/30/2017 13:50:00,,,,,,
250,5.88,WZW,52.07,87,4.2,253,4.0,5.3,3.19,39700,2,119,11/30/2017 13:50:00,,,,,,
218,4.98,NNW,52.65,92,3.3,334,3.0,8.3,3.58,16800,3,46,11/30/2017 13:50:00,,,,,,
231,3.38,,51.38,,,309,,,12.81,,6,,11/30/2017 13:50:00,,,,,,
213,5.18,W,52.10,85,4.1,266,4.0,3.4,1.91,49900,2,99,11/30/2017 13:50:00,,,,,,
214,4.78,NNO,52.92,86,3.5,14,3.7,5,1.71,29000,2,44,11/30/2017 13:50:00,,,,,,
246,5.42,ZW,51.45,91,3.4,236,3.5,5.3,3.46,37800,3,86,11/30/2017 13:50:00,,,,,,
207,5.77,W,51.20,89,4.0,259,3.9,7.8,5.11,13400,3,87,11/30/2017 13:50:00,,,,,,
243,3.28,,52.00,,,311,,,13.5,,6,,11/30/2017 13:50:00,,,,,,
248,4.93,WZW,51.57,92,3.4,251,3.1,6.2,3.42,43500,3,67,11/30/2017 13:50:00,,,,,,
234,3.90,WNW,51.53,87,4.9,300,4.8,10.7,6.76,,4,94,11/30/2017 13:50:00,,,,,,
201,6.65,WZW,52.07,89,4.5,247,4.5,4.7,2.88,,2,98,11/30/2017 13:50:00,,,,,,
203,6.58,ZW,53.13,89,4.3,235,3.9,4.1,2.72,48600,2,127,11/30/2017 13:50:00,,,,,,
236,4.00,,51.45,,,317,,,9.62,,5,,11/30/2017 13:50:00,,,,,,
205,6.27,WZW,52.43,85,4.7,258,4.5,5.1,3.93,,3,92,11/30/2017 13:50:00,,,,,,
211,5.15,W,51.87,89,4.0,260,3.9,4.6,3.36,,2,103,11/30/2017 13:50:00,,,,,,
229,4.10,N,51.98,88,3.9,8,3.9,7.8,5.73,,4,40,11/30/2017 13:50:00,,,,,,
206,6.52,WNW,52.73,86,4.3,281,4.4,4.2,2.74,48500,2,100,11/30/2017 13:50:00,,,,,,
217,5.35,W,53.38,93,2.6,266,2.6,4.7,1.89,10200,2,20,11/30/2017 13:50:00,,,,,,
220,5.40,W,52.65,,,274,,7.3,6.1,,4,,11/30/2017 13:50:00,,,,,,
209,6.40,,53.57,,,199,,,5.91,,4,,11/30/2017 13:50:00,,,,,,
223,4.52,,52.47,,,301,,,11.13,,6,,11/30/2017 13:50:00,,,,,,
224,4.57,O,52.47,,,81,,5.2,3.77,,3,,11/30/2017 13:50:00,,,,,,
210,6.20,ZW,53.42,84,6.4,232,5.1,4.9,3.11,,2,290,11/30/2017 13:50:00,,,,,,
241,3.67,,51.93,,,318,,,12.58,,6,,11/30/2017 13:50:00,,,,,,
245,5.77,WZW,53.22,86,3.6,257,3.9,4.1,2.61,49100,2,147,11/30/2017 13:50:00,,,,,,
221,5.53,WZW,52.45,88,4.4,238,4.0,5.3,3.96,49600,3,89,11/30/2017 13:50:00,,,,,,
212,4.93,WZW,51.97,89,3.9,249,3.7,5,3.56,48800,3,72,11/30/2017 13:50:00,,,,,,
208,5.78,WZW,50.92,93,3.1,252,2.9,6.8,3.3,30000,2,46,11/30/2017 13:50:00,,,,,,
244,5.88,WZW,52.70,82,5.2,251,4.7,7,4.7,42100,3,173,11/30/2017 13:50:00,,,,,,
204,7.15,WZW,53.20,87,4.3,252,4.2,4.5,3.03,,2,133,11/30/2017 13:50:00,,,,,,
239,3.62,,51.77,,,302,,,13.08,,6,,11/30/2017 13:50:00,,,,,,
227,4.45,WZW,51.95,93,2.4,237,2.4,4,2.88,4460,2,22,11/30/2017 13:50:00,,,,,,
228,4.32,O,51.88,,,88,,2.3,0.99,,1,,11/30/2017 13:50:00,,,,,,
240,3.70,,51.65,,,315,,,12.85,,6,,11/30/2017 13:50:00,,,,,,
226,4.77,NW,52.30,88,3.0,318,3.1,4.7,3.15,10500,2,45,11/30/2017 13:50:00,,,,,,
235,4.00,,51.60,,,320,,,11.61,,6,,11/30/2017 13:50:00,,,,,,
222,5.38,W,52.88,82,3.6,274,4.2,5.5,4.29,49900,3,88,11/30/2017 13:50:00,,,,,,
215,4.75,NO,53.00,,,38,,11.4,6.14,,4,,11/30/2017 13:50:00,,,,,,
237,4.13,,51.52,,,323,,,8.64,,5,,11/30/2017 13:50:00,,,,,,
202,6.90,WZW,52.27,86,4.2,242,4.0,3.9,3.4,17300,2,101,11/30/2017 13:50:00,,,,,,
232,3.25,,51.50,,,318,,,13.34,,6,,11/30/2017 13:50:00,,,,,,
216,4.92,N,53.25,88,3.5,8,3.6,12.3,7.07,18700,4,,11/30/2017 13:50:00,,,,,,
233,3.60,NW,51.45,85,3.6,306,4.2,9.7,5.38,35100,3,31,11/30/2017 13:50:00,,,,,,
247,5.70,ZW,51.65,86,4.6,235,4.2,7.9,5.46,41200,3,167,11/30/2017 13:50:00,,,,,,
230,4.43,ZO,52.12,87,3.7,139,3.5,2,1.36,27300,1,58,11/30/2017 13:50:00,,,,,,
242,3.83,WZW,51.23,96,2.2,244,2.1,5.8,3.65,13000,3,58,11/30/2017 13:50:00,,,,,,
219,5.17,W,52.63,,,276,,4.2,2.33,,2,,11/30/2017 13:50:00,,,,,,
225,4.60,,52.50,91,2.8,0,2.7,,,,0,15,11/30/2017 13:50:00,,,,,,
238,4.33,W,51.45,98,2.1,264,2.4,4.1,1.77,21000,2,,11/30/2017 13:50:00,,,,,,
252,4.73,,54.85,72,,0,5.3,10.1,4.71,36700,3,,11/30/2017 13:50:00,,,,,,
251,3.22,,53.22,,,340,,,13.63,,6,,11/30/2017 13:50:00,,,,,,
263,5791920.145257,,658939.322141,,,,,,,,,,20171130T12:40:00Z,0.009,,9.0,30.0,,
522,5740500.375136,,612969.079464,,,,,,,,,,20171130T12:40:00Z,0.426,,,,,
520,5740488.680422,,612978.447521,,,,,,,,,,20171130T12:40:00Z,0.453,,,,,
496,5740475.963148,,612986.872912,,,,,,,,,,20171130T12:40:00Z,0.456,,,,,
509,5740464.135556,,612995.278339,,,,,,,,,,20171130T12:40:00Z,0.437,,,,,
477,5740452.44089,,613004.646522,,,,,,,,,,20171130T12:40:00Z,0.437,,,,,
481,5740439.723658,,613013.072035,,,,,,,,,,20171130T12:40:00Z,0.463,,,,,
465,5740428.030576,,613022.509247,,,,,,,,,,20171130T12:40:00Z,0.334,,,,,
455,5740415.313374,,613030.934844,,,,,,,,,,20171130T12:40:00Z,0.242,,,,,
430,5740403.493607,,613039.685194,,,,,,,,,,20171130T12:40:00Z,0.714,,,,,
386,5730760.039701,,613054.59646,,,,,,,,,,20171130T12:40:00Z,0.127,,,,,
85,5730772.413997,,613045.749104,,,,,,,,,,20171130T12:40:00Z,0.054,,,,,
82,5730784.131908,,613037.40029,,,,,,,,,,20171130T12:40:00Z,0.047,,,,,
453,5730796.825914,,613027.923847,,,,,,,,,,20171130T12:40:00Z,0.138,,,,,
532,5730808.543853,,613019.575113,,,,,,,,,,20171130T12:40:00Z,0.188,,,,,
547,5730820.238578,,613010.190272,,,,,,,,,,20171130T12:40:00Z,0.083,,,,,
541,5730832.955861,,613001.750103,,,,,,,,,,20171130T12:40:00Z,0.049,,,,,
492,5730844.673843,,612993.401485,,,,,,,,,,20171130T12:40:00Z,0.036,,,,,
497,5730857.36793,,612983.925261,,,,,,,,,,20171130T12:40:00Z,0.023,,,,,
512,5730869.085941,,612975.576723,,,,,,,,,,20171130T12:40:00Z,0.031,,,,,
473,5730881.914487,,612967.134225,,,,,,,,,,20171130T12:40:00Z,0.05,,,,,
466,5730893.609307,,612957.749636,,,,,,,,,,20171130T12:40:00Z,0.074,,,,,
557,5730906.326675,,612949.309714,,,,,,,,,,20171130T12:40:00Z,0.094,,,,,
383,5730918.021527,,612939.925209,,,,,,,,,,20171130T12:40:00Z,0.062,,,,,
376,5730929.739609,,612931.576868,,,,,,,,,,20171130T12:40:00Z,0.086,,,,,
73,5730954.15192,,612913.752689,,,,,,,,,,20171130T12:40:00Z,0.076,,,,,
65,5730966.86936,,612905.312972,,,,,,,,,,20171130T12:40:00Z,0.062,,,,,
68,5730978.564293,,612895.928677,,,,,,,,,,20171130T12:40:00Z,0.025,,,,,
72,5730990.282446,,612887.580532,,,,,,,,,,20171130T12:40:00Z,0.042,,,,,
26,5731002.999929,,612879.140939,,,,,,,,,,20171130T12:40:00Z,0.035,,,,,
422,5738687.44143,,612229.200789,,,,,,,,,,20171130T12:40:00Z,0.82,,,,,
384,5730942.45702,,612923.137068,,,,,,,,,,20171130T12:40:00Z,0.053,,,,,
478,5746385.947008,,614054.563017,,,,,,,,,,20171130T12:40:00Z,0.665,,,,,
323,5740647.002917,,612864.250166,,,,,,,,,,20171130T12:40:00Z,0.019,,,,,
311,5740634.174248,,612872.677517,,,,,,,,,,20171130T12:40:00Z,0.01,,,,,
304,5740622.457678,,612881.079928,,,,,,,,,,20171130T12:40:00Z,0.012,,,,,
345,5740609.761927,,612890.47005,,,,,,,,,,20171130T12:40:00Z,0.039,,,,,
348,5740598.045386,,612898.872541,,,,,,,,,,20171130T12:40:00Z,0.114,,,,,
354,5740585.349668,,612908.262751,,,,,,,,,,20171130T12:40:00Z,0.159,,,,,
391,5740573.633156,,612916.665322,,,,,,,,,,20171130T12:40:00Z,0.163,,,,,
435,5740560.915781,,612925.090423,,,,,,,,,,20171130T12:40:00Z,0.132,,,,,
447,5740549.220987,,612934.458271,,,,,,,,,,20171130T12:40:00Z,0.264,,,,,
443,5740537.504517,,612942.86096,,,,,,,,,,20171130T12:40:00Z,0.329,,,,,
425,5740524.787185,,612951.286184,,,,,,,,,,20171130T12:40:00Z,0.368,,,,,
469,5740513.092439,,612960.654157,,,,,,,,,,20171130T12:40:00Z,0.377,,,,,
259,5746272.620602,,592267.588101,,,,,,,,,,20171130T12:40:00Z,0.683,,,,,
125,5822566.220329,,651339.912523,,,,,,,,,,20171130T12:40:00Z,,24.0,,27.0,,
51,5859900.873859,,641893.412715,,,,,,,,,,20171130T12:40:00Z,,12.0,,8.0,,
347,5860298.308032,,642605.985795,,,,,,,,,,20171130T12:40:00Z,,13.0,,6.0,,
143,5813700.79688,,603084.756918,,,,,,,,,,20171130T12:40:00Z,,150.0,,103.0,,
155,5757231.169463,,579684.940372,,,,,,,,,,20171130T12:40:00Z,,11.0,,107.0,,
538,5864584.144618,,577332.855011,,,,,,,,,,20171130T12:40:00Z,,214.0,,,,
322,5824714.958109,,573153.986862,,,,,,,,,,20171130T12:40:00Z,,207.0,,,,
142,5816113.72678,,585819.536375,,,,,,,,,,20171130T12:40:00Z,,182.0,,,,
119,5760592.897371,,569259.990992,,,,,,,,,,20171130T12:40:00Z,,166.0,,,,
151,5755106.396664,,499770.915918,,,,,,,,,,20171130T12:40:00Z,,228.0,,,,
415,5732587.56863,,521140.702135,,,,,,,,,,20171130T12:40:00Z,,210.0,,,,
200,5762198.872245,,550476.805225,,,,,,,,,,20171130T12:40:00Z,,187.0,,,,
124,5756869.314541,,579315.78417,,,,,,,,,,20171130T12:40:00Z,,10.0,,107.0,,
144,5722993.340583,,548004.476485,,,,,,,,,,20171130T12:40:00Z,,104.0,,102.0,,
315,5931845.617038,,753602.882692,,,,,,,,,,20171130T12:40:00Z,,21.0,,103.0,,
116,5933055.370355,,747112.760101,,,,,,,,,,20171130T12:40:00Z,,9.0,,,,
390,5929208.21009,,712630.911328,,,,,,,,,,20171130T12:40:00Z,,3.0,,83.0,,
253,5932985.614934,,729495.294804,,,,,,,,,,20171130T12:40:00Z,,2.0,,,,
527,5935087.591158,,701210.9313,,,,,,,,,,20171130T12:40:00Z,,140.0,,,,
407,5937960.033728,,728627.341124,,,,,,,,,,20171130T12:40:00Z,,50.0,,,,
2,5935683.051801,,743772.544318,,,,,,,,,,20171130T12:40:00Z,,12.0,,,,
539,5941794.906494,,740446.114961,,,,,,,,,,20171130T12:40:00Z,,78.0,,,,
484,5943102.893473,,709468.383028,,,,,,,,,,20171130T12:40:00Z,,151.0,,,,
448,5946464.71306,,722736.89789,,,,,,,,,,20171130T12:40:00Z,,133.0,,,,
456,5947044.828293,,732910.547324,,,,,,,,,,20171130T12:40:00Z,,146.0,,,,
359,5923648.189778,,683288.335483,,,,,,,,,,20171130T12:40:00Z,,11.0,,73.0,,
427,5847343.709957,,672717.142705,,,,,,,,,,20171130T12:40:00Z,,30.0,,7.0,,
534,5855380.112805,,667019.965162,,,,,,,,,,20171130T12:40:00Z,,34.0,,0.0,,
