,id,index,longitude,wind_direction,latitude,humidity,temperature_10cm,wind_direction_degrees,temperature,wind_blast,wind_speedMS,visibility_meters,wind_speedBF,sun_intensity,datetime,water_flow,waves_height,water_drainage,water_level,water_level_belgium_border,tide
0,1,149,6.2,ZW,51.5,79.0,8.0,224.0,8.4,6.0,3.85,,3.0,17.0,2017-12-06T15:50:00Z,,,,,,
1,2,148,5.88,ZW,52.07,80.0,7.6,227.0,8.0,6.2,3.87,29400.0,3.0,9.0,2017-12-06T15:50:00Z,,,,,,
2,3,62,4.98,WZW,52.65,77.0,8.8,244.0,9.2,7.6,5.25,33600.0,3.0,9.0,2017-12-06T15:50:00Z,,,,,,
3,4,169,3.38,ZZW,51.38,,,212.0,,9.8,7.29,,4.0,,2017-12-06T15:20:00Z,,,,,,
4,5,403,5.18,ZW,52.1,73.0,8.5,228.0,9.0,6.4,4.08,33800.0,3.0,13.0,2017-12-06T15:50:00Z,,,,,,
5,6,28,4.78,WZW,52.92,69.0,9.3,246.0,9.9,13.1,9.44,31000.0,5.0,20.0,2017-12-06T15:50:00Z,,,,,,
6,7,116,5.42,ZZW,51.45,80.0,7.7,207.0,8.0,6.9,4.92,17000.0,3.0,14.0,2017-12-06T15:50:00Z,,,,,,
7,8,497,5.77,ZW,51.2,85.0,7.2,215.0,7.4,6.0,3.85,12200.0,3.0,16.0,2017-12-06T15:50:00Z,,,,,,
8,9,1,3.28,ZZW,52.0,,,201.0,,13.4,10.71,10500.0,5.0,,2017-12-06T15:40:00Z,,,,,,
9,10,391,4.93,ZZW,51.57,79.0,7.9,201.0,8.2,7.4,5.11,18700.0,3.0,11.0,2017-12-06T15:50:00Z,,,,,,
10,11,191,3.9,ZZW,51.53,86.0,8.0,204.0,8.3,9.6,6.18,,4.0,9.0,2017-12-06T15:50:00Z,,,,,,
11,12,501,6.65,ZW,52.07,80.0,7.0,224.0,8.1,6.5,2.99,,2.0,12.0,2017-12-06T15:50:00Z,,,,,,
12,13,558,6.58,WZW,53.13,71.0,8.3,247.0,9.1,10.4,6.99,49000.0,4.0,11.0,2017-12-06T15:50:00Z,,,,,,
13,14,264,4.0,ZZW,51.45,,,214.0,,9.7,7.76,,4.0,,2017-12-06T15:20:00Z,,,,,,
14,15,108,6.27,ZW,52.43,77.0,7.9,226.0,8.4,8.0,4.76,,3.0,12.0,2017-12-06T15:50:00Z,,,,,,
15,16,498,5.15,ZW,51.87,75.0,8.1,228.0,8.6,6.7,4.51,,3.0,13.0,2017-12-06T15:50:00Z,,,,,,
16,17,343,4.1,ZZW,51.98,78.0,8.6,213.0,8.7,11.8,8.49,,5.0,10.0,2017-12-06T15:50:00Z,,,,,,
17,18,4,6.52,WZW,52.73,75.0,7.8,241.0,8.5,9.5,6.24,47600.0,4.0,12.0,2017-12-06T15:50:00Z,,,,,,
18,19,512,5.35,WZW,53.38,79.0,8.6,241.0,8.9,12.8,8.68,21200.0,5.0,13.0,2017-12-06T15:50:00Z,,,,,,
19,20,58,5.4,ZZW,52.65,,,213.0,,9.2,8.16,,5.0,,2017-12-06T15:50:00Z,,,,,,
20,21,518,6.4,,53.57,,,0.0,,,,,0.0,,2017-12-06T15:40:00Z,,,,,,
21,22,34,4.52,WZW,52.47,,,237.0,,8.5,6.94,,4.0,,2017-12-06T15:40:00Z,,,,,,
22,23,39,4.57,ZW,52.47,,,236.0,,10.6,8.45,,5.0,,2017-12-06T15:50:00Z,,,,,,
23,24,552,6.2,WZW,53.42,77.0,8.1,237.0,8.7,11.1,7.38,,4.0,10.0,2017-12-06T15:50:00Z,,,,,,
24,25,120,3.67,ZW,51.93,,,229.0,,14.3,11.16,11200.0,6.0,,2017-12-06T15:40:00Z,,,,,,
25,26,554,5.77,WZW,53.22,74.0,8.6,241.0,9.0,11.9,8.64,48400.0,5.0,11.0,2017-12-06T15:50:00Z,,,,,,
26,27,55,5.53,ZW,52.45,84.0,7.1,216.0,8.1,6.8,5.05,26600.0,3.0,11.0,2017-12-06T15:50:00Z,,,,,,
27,28,127,4.93,ZW,51.97,78.0,7.8,223.0,8.4,6.8,4.99,26500.0,3.0,12.0,2017-12-06T15:50:00Z,,,,,,
28,29,477,5.78,ZW,50.92,84.0,6.5,222.0,6.9,7.2,4.62,13700.0,3.0,9.0,2017-12-06T15:50:00Z,,,,,,
