,wind_speedMS,humidity,wind_speedBF,latitude,wind_direction_degrees,longitude,wind_direction,temperature,temperature_10cm,visibility_meters,sun_intensity,wind_blast,water_level,datetime,tide,water_level_belgium_border,water_flow,waves_height,water_drainage
248,3.23,91,2,51.50,246,6.20,WZW,3.6,3.8,-,53,5.1,,11/30/2017 11:20:00,,,,,
249,3.03,97,2,52.07,243,5.88,WZW,3.2,3.1,11600,169,4.3,,11/30/2017 11:20:00,,,,,
218,2.72,93,2,52.65,222,4.98,ZW,2.9,2.9,37700,73,4,,11/30/2017 11:20:00,,,,,
231,12.81,-,6,51.38,309,3.38,-,-,-,-,-,-,,11/30/2017 11:20:00,,,,,
213,1.91,89,2,52.10,261,5.18,W,3.3,3.6,16000,55,4.2,,11/30/2017 11:20:00,,,,,
214,1.87,84,2,52.92,313,4.78,NW,4.0,3.1,42400,113,4,,11/30/2017 11:20:00,,,,,
245,4.8,92,3,51.45,247,5.42,WZW,3.4,3.4,8470,99,6.9,,11/30/2017 11:20:00,,,,,
207,3.73,93,3,51.20,251,5.77,WZW,2.9,3.1,9250,75,5.5,,11/30/2017 11:20:00,,,,,
242,13.5,-,6,52.00,311,3.28,-,-,-,-,-,-,,11/30/2017 11:20:00,,,,,
247,1.19,94,1,51.57,260,4.93,W,3.3,3.1,13600,73,2.3,,11/30/2017 11:20:00,,,,,
201,2.82,92,2,52.07,236,6.65,WZW,3.7,4.4,-,117,4.2,,11/30/2017 11:20:00,,,,,
203,2.35,96,2,53.13,232,6.58,ZW,2.3,2.3,23600,145,3.2,,11/30/2017 11:20:00,,,,,
234,7,-,4,51.45,271,4.00,-,-,-,-,-,-,,11/30/2017 11:20:00,,,,,
205,2.28,94,2,52.43,220,6.27,ZW,2.4,2.5,-,136,3.3,,11/30/2017 11:20:00,,,,,
211,4.95,92,3,51.87,233,5.15,ZW,3.7,3.7,-,96,6.6,,11/30/2017 11:20:00,,,,,
229,9.96,79,5,51.98,324,4.10,NW,5.8,6.0,-,186,13.7,,11/30/2017 11:20:00,,,,,
206,2.53,95,2,52.73,217,6.52,ZW,2.9,3.0,16900,145,3.4,,11/30/2017 11:20:00,,,,,
217,2.66,89,2,53.38,200,5.35,ZZW,2.8,3.0,7910,60,5,,11/30/2017 11:20:00,,,,,
220,7.19,-,4,52.65,252,5.40,WZW,-,-,-,-,8.6,,11/30/2017 11:20:00,,,,,
209,5.91,-,4,53.57,199,6.40,-,-,-,-,-,-,,11/30/2017 11:20:00,,,,,
223,11.13,-,6,52.47,301,4.52,-,-,-,-,-,-,,11/30/2017 11:20:00,,,,,
224,7.46,-,4,52.47,316,4.57,NW,-,-,-,-,11.1,,11/30/2017 11:20:00,,,,,
210,4.47,88,3,53.42,265,6.20,W,3.5,3.5,-,77,5.7,,11/30/2017 11:20:00,,,,,
240,12.58,-,6,51.93,318,3.67,-,-,-,-,-,-,,11/30/2017 11:20:00,,,,,
244,2.08,97,2,53.22,178,5.77,Z,2.2,1.6,49900,134,2.8,,11/30/2017 11:20:00,,,,,
221,3.25,87,2,52.45,249,5.53,WZW,3.6,3.4,49400,89,5.1,,11/30/2017 11:20:00,,,,,
212,4.22,90,3,51.97,232,4.93,ZW,3.8,4.0,25700,93,5.5,,11/30/2017 11:20:00,,,,,
208,4.04,95,3,50.92,252,5.78,WZW,1.9,2.2,8510,45,6.4,,11/30/2017 11:20:00,,,,,
243,2.28,86,2,52.70,265,5.88,W,3.6,3.4,20500,84,3.7,,11/30/2017 11:20:00,,,,,
